species,mass,brain
human,54.6,1326.1
human,52.5,1380.2
human,51.9,1422.3
human,56.8,1380.2
human,60.9,1366.5
human,60.3,1394.1
human,57.4,1436.6
human,56.3,1422.3
human,56.3,1436.6
human,57.4,1556.2
human,59.7,1556.2
human,61.6,1556.2
human,62.8,1540.7
human,64.7,1525.4
human,66.0,1495.2
human,67.4,1436.6
human,70.8,1451.0
human,72.2,1510.2
human,79.0,1525.4
human,71.5,1525.4
human,67.4,1525.4
human,64.7,1571.8
human,67.4,1603.6
human,70.1,1556.2
human,70.8,1587.6
human,70.8,1619.7
human,68.7,1669.0
human,64.7,1702.8
human,80.6,1881.8
human,83.9,1772.2
neanderthal,63.4,1274.1
neanderthal,67.4,1299.8
neanderthal,71.5,1352.9
neanderthal,68.7,1556.2
neanderthal,70.1,1754.6
neanderthal,77.5,1636.0
neanderthal,80.6,1603.6
neanderthal,83.9,1556.2
neanderthal,84.8,1685.8
